T F7 F3 F4 F8 T3 C3 Cz C4 T5 P3 Pz P4 T6 O1 O2
9.77 4.225 -0.9438 1.618 3.281 2.562 -0.9438 5.933 -0.04494 1.258 -4.309 -5.276 7.826 5.124 -3.685 9.438
9.775 1.888 -2.472 3.281 4.989 1.258 -4.045 8.315 1.258 -0.4045 -7.474 -7.035 5.012 5.663 -4.944 8.449
9.78 -1.258 -4.315 9.169 8.899 -0.5843 -6.562 9.393 6.831 -1.888 -9.497 -8.09 4.309 7.371 -5.753 7.64
9.785 -2.337 -4.449 15.19 11.51 -2.202 -8.18 8.18 12.09 -3.865 -10.64 -8.881 3.693 7.73 -7.011 4.584
9.79 -0.2697 -1.843 17.39 9.303 -2.831 -8.36 5.124 13.3 -5.978 -10.73 -8.793 1.495 5.124 -8.27 -1.169
9.795 2.247 1.843 14.2 2.652 -2.112 -6.472 1.258 10.16 -7.551 -9.761 -7.211 -2.902 -0.08989 -8.449 -8
9.8 2.517 3.955 7.191 -4.135 -0.5393 -3.191 -2.337 3.91 -7.056 -7.386 -4.573 -9.233 -6.562 -7.551 -13.93
9.805 0.9888 2.831 -0.8539 -6.607 0.764 -0.9888 -5.213 -4.494 -5.169 -3.429 -2.198 -16.53 -12.4 -6.472 -17.35
9.81 -0.7191 -0.7191 -6.831 -3.82 1.124 -0.764 -7.056 -12 -2.607 0.7914 -0.7035 -21.46 -16.18 -5.753 -17.44
9.815 -2.337 -3.955 -8.764 0.9888 1.303 -0.4944 -7.236 -14.07 -0.4944 4.133 1.319 -20.14 -16.36 -4.494 -14.02
9.82 -3.416 -4.18 -7.101 3.101 2.427 1.708 -4.899 -8.494 1.079 6.155 5.012 -11.26 -12.22 -1.618 -7.551
9.825 -2.517 -0.4045 -4.045 0.4494 4.315 5.348 0.3146 2.292 2.337 7.211 10.2 1.935 -4.404 2.876 0.809
9.83 1.258 5.663 -0.809 -4.225 5.798 8.449 7.551 14.38 2.966 7.211 15.21 14.86 5.124 7.64 9.438
9.835 6.292 10.7 2.831 -6.247 5.933 9.843 14.02 24.09 2.697 5.716 17.94 23.04 12.85 10.7 16
9.84 9.888 12.36 6.562 -3.461 4.494 8.764 16.49 27.01 1.438 2.726 16.71 23.48 15.55 10.52 17.98
9.845 10.88 10.7 8.27 1.528 1.933 4.449 12.9 19.73 -0.5393 -1.319 10.46 15.74 12.67 6.831 14.11
9.85 8.629 6.921 6.202 4.584 -1.034 -2.022 4.449 5.213 -2.112 -5.804 0.8793 4.045 6.652 0.8989 6.292
9.855 2.607 2.157 1.034 4.09 -3.371 -7.506 -4.944 -8.045 -2.247 -9.233 -8.354 -5.628 1.258 -4.764 -2.067
9.86 -5.483 -2.742 -4.719 2.427 -4.539 -9.708 -10.92 -13.12 -0.2247 -9.585 -14.16 -10.02 -1.708 -8 -8.449
9.865 -11.06 -6.607 -7.775 3.056 -4.809 -8.944 -11.37 -10.16 2.517 -5.892 -16 -9.936 -3.236 -8.629 -11.78
9.87 -11.24 -8.09 -5.888 7.101 -4.719 -6.157 -6.787 -3.326 4.225 0.2638 -14.51 -7.65 -4.944 -7.191 -11.96
9.875 -7.281 -6.607 0.5393 12.13 -4.18 -1.348 0.5393 3.371 3.685 6.155 -10.2 -4.836 -7.371 -4.764 -9.348
9.88 -2.517 -2.472 7.73 13.93 -2.787 4.629 8.449 7.281 1.348 9.321 -3.869 -2.374 -9.079 -2.337 -4.944
9.885 1.438 2.876 11.24 9.843 -0.8989 9.618 15.28 7.685 -1.528 9.057 2.638 -0.6155 -8.09 -0.6292 -0.08989
9.89 4.404 7.191 9.663 1.843 0.5843 11.64 20.04 6.787 -3.551 6.155 8.002 1.055 -3.865 0.2697 3.955
9.895 5.663 8.315 5.663 -5.213 1.393 11.06 21.21 7.596 -4 2.198 10.9 3.517 1.888 1.348 6.382
9.9 4.944 5.933 2.337 -7.371 1.528 8.404 17.03 8.989 -2.742 -1.231 10.55 5.892 6.472 2.787 6.652
9.905 3.596 1.708 0.1348 -4.719 0.9438 3.82 6.831 6.247 -0.9438 -3.693 6.067 6.243 8.09 3.865 5.124
9.91 2.697 -2.202 -2.652 -0.8989 -0.4045 -2.202 -7.101 -1.933 -0.08989 -6.067 -1.319 4.045 7.101 3.056 3.146
9.915 1.708 -4.899 -6.966 0.7191 -2.202 -7.506 -20.27 -11.46 -0.4944 -9.233 -8.442 0.5276 4.854 0.2697 1.798
9.92 0.2697 -5.933 -12.22 -0.9888 -3.551 -10.43 -28.27 -17.21 -2.022 -12.49 -12.75 -3.429 2.157 -3.865 0.809
9.925 -0.5393 -5.303 -15.96 -4.315 -4.27 -11.28 -29.35 -17.71 -4.045 -13.89 -13.28 -7.562 -1.079 -7.281 -0.6292
9.93 0 -3.101 -15.28 -6.382 -4.315 -10.29 -24.81 -13.93 -5.303 -12.05 -10.2 -10.2 -4.225 -8.18 -2.067
9.935 0 -0.2697 -9.258 -5.079 -3.371 -6.876 -17.44 -7.101 -4.899 -6.947 -4.045 -8.617 -5.753 -5.753 -1.708
9.94 -2.247 1.978 -0.764 -0.9438 -1.708 -1.708 -9.528 0.3146 -3.056 0.1759 3.429 -2.022 -4.404 -1.169 1.169
9.945 -5.303 2.652 5.393 3.101 -0.2247 2.876 -2.202 5.258 -0.5393 7.298 9.409 6.243 -1.169 3.506 5.573
9.95 -6.472 1.348 6.382 4.719 0.3146 5.169 4.629 6.831 0.9888 12.05 11.61 11.7 1.169 6.382 9.258
9.955 -5.483 -0.9888 3.775 3.461 0.2247 5.708 10.38 6.562 0.8989 13.19 9.761 11.26 -0.08989 7.551 9.798
9.96 -2.697 -2.472 0.7191 1.124 0.6742 5.663 13.53 4.944 -0.4045 11.17 5.012 4.309 -5.303 7.82 6.292
9.965 1.618 -0.9438 -0.8539 -0.764 1.843 4.899 12.67 0.8539 -2.247 7.386 -0.8793 -6.155 -11.69 6.742 0
9.97 6.472 3.416 -0.5843 -1.258 2.921 2.831 8.225 -4.674 -3.73 2.99 -5.979 -14.33 -14.56 3.865 -6.202
9.975 8.989 8.135 0.6742 -0.3596 2.831 0.2697 2.292 -7.685 -4.449 -1.231 -8.178 -15.21 -11.78 -0.809 -9.708
9.98 7.191 9.438 1.843 0.8989 1.258 -2.427 -2.876 -6.652 -4 -4.309 -7.386 -9.497 -5.303 -5.753 -9.978
9.985 2.157 5.798 1.393 1.034 -1.258 -5.438 -6.472 -4.27 -2.472 -4.924 -5.188 -2.55 0.5393 -8.989 -8.629
9.99 -4.315 -1.528 -0.6742 -0.4944 -3.371 -8.539 -9.034 -3.73 -0.2697 -3.254 -3.166 0.7914 2.966 -9.258 -6.652
9.995 -11.15 -9.888 -3.191 -3.101 -3.506 -10.29 -11.01 -4.944 2.247 -0.4397 -1.847 0.3517 2.157 -6.921 -4.674
10 -16.99 -16.09 -4.944 -5.213 -1.573 -10.29 -12.13 -5.933 3.955 1.495 -1.759 -1.407 0.7191 -4.404 -2.787
10.005 -19.06 -18.29 -5.843 -6.112 0.3146 -10.34 -10.79 -5.483 3.596 1.319 -3.517 -2.638 0.4494 -4.674 -1.618
10.01 -15.46 -16.4 -5.663 -5.753 0.1798 -11.51 -5.708 -2.427 1.213 -1.319 -6.771 -2.286 1.079 -8.09 -1.079
10.015 -8 -12.09 -4.315 -4.449 -1.888 -12.13 2.202 3.146 -2.022 -4.924 -9.321 -0.3517 1.528 -11.69 -0.8989
10.02 -0.2697 -7.056 -2.697 -3.011 -3.775 -10.56 9.843 8.045 -4 -7.123 -9.057 1.231 0.8989 -12.31 -0.8989
10.025 5.303 -2.247 -2.202 -2.337 -3.281 -7.236 13.39 7.236 -3.551 -6.067 -5.628 1.319 -0.1798 -9.169 -1.169
10.03 7.371 1.663 -3.056 -2.382 -0.4944 -3.73 11.55 0.809 -1.438 -2.902 -0.08793 0.8793 -0.08989 -4.135 -0.9888
10.035 5.124 3.596 -3.281 -1.933 3.191 -0.764 6.112 -5.079 0.809 -0.08793 5.628 2.462 2.157 0.08989 -0.2697
10.04 -0.08989 3.371 -1.438 -0.4045 5.303 0.6742 0.7191 -5.079 1.573 0.5276 8.793 6.155 5.124 1.978 0.809
10.045 -4.135 2.382 1.843 1.213 4.584 -0.3596 -2.067 0 0.5393 -0.7914 7.65 8.969 6.562 1.618 1.079
10.05 -4.315 2.382 4.584 1.034 1.843 -3.191 -2.022 5.483 -1.213 -2.814 3.078 8.266 5.034 0.6292 0.2697
10.055 -1.258 4.135 5.303 -1.258 -0.4944 -5.034 -0.8989 7.461 -2.292 -4.133 -1.759 3.693 0.8989 0.5393 -1.618
10.06 2.157 6.966 4.045 -4.36 -0.2697 -3.955 -0.08989 4 -2.067 -3.429 -3.957 -3.254 -4.404 1.888 -4.674
10.065 5.034 9.663 1.663 -5.573 2.247 -0.4944 0.4045 -3.281 -0.4944 -0.2638 -2.726 -10.46 -9.079 3.955 -8.449
10.07 7.64 11.28 0 -3.685 5.483 3.775 1.843 -9.169 2.067 4.924 1.231 -14.68 -11.15 6.921 -11.06
10.075 9.888 11.42 0.4045 0.4045 8.18 8.09 5.393 -7.82 5.348 11.26 7.211 -12.75 -8.989 11.78 -9.798
10.08 11.51 10.52 2.022 3.73 10.11 11.15 9.843 0.5843 8.809 17.23 13.63 -4.485 -2.697 18.61 -3.326
10.085 12.58 9.663 2.652 3.281 11.19 10.97 12.49 9.573 11.64 21.54 18.2 6.771 6.112 25.17 7.011
10.09 12.22 8.494 1.258 -0.7191 10.65 6.876 11.24 13.66 11.87 21.72 19.43 16.88 14.29 27.96 17.62
10.095 8.629 5.888 -0.5843 -4.27 8.18 1.798 6.022 12.9 8.989 16.36 17.06 22.95 18.7 24.63 24
10.1 1.438 1.573 -1.303 -3.64 4.27 -1.213 -0.6292 9.798 3.73 6.595 11.7 22.51 17.35 15.28 22.74
10.105 -5.393 -2.876 -0.6742 1.213 -0.1348 -1.258 -5.843 5.303 -2.337 -4.397 4.133 15.3 11.24 2.517 13.75
10.11 -7.191 -4.989 0.764 6.831 -3.91 0.764 -7.506 0.2697 -7.101 -13.89 -3.693 4.133 3.506 -9.978 1.079
10.115 -3.865 -3.955 2.562 9.438 -5.888 3.596 -5.618 -3.91 -9.663 -19.87 -9.233 -6.331 -2.697 -18.7 -9.888
10.12 1.348 -1.169 4.404 8.09 -5.663 5.618 -1.933 -6.292 -10.29 -21.72 -11.08 -13.1 -6.292 -22.47 -15.37
10.125 5.393 1.303 5.124 4.584 -4.225 4.989 0.9438 -7.775 -9.573 -19.79 -10.29 -16.53 -8.18 -22.02 -15.73
10.13 6.652 1.573 3.64 1.483 -2.921 1.978 1.213 -8.539 -8 -15.48 -8.969 -17.5 -9.348 -18.88 -13.03
10.135 4.674 -0.7191 0 -0.04494 -1.843 -0.8539 -1.708 -7.775 -5.618 -10.64 -8.53 -16.27 -9.708 -14.65 -9.798
10.14 0.4494 -4.225 -4.629 -1.034 -1.034 -1.933 -6.831 -6.607 -2.607 -6.507 -9.409 -13.19 -8.629 -10.34 -7.281
10.145 -2.966 -6.697 -8 -2.787 -0.8539 -2.247 -11.46 -7.056 0.2247 -3.605 -11.34 -8.969 -5.843 -6.562 -5.573
10.15 -3.685 -7.101 -7.73 -4.449 -1.978 -2.607 -12.94 -8 1.843 -1.935 -12.4 -4.133 -1.528 -3.146 -3.326
10.155 -2.966 -5.798 -2.697 -3.506 -3.685 -1.753 -10.02 -5.303 2.472 -0.3517 -9.936 1.407 2.966 1.079 0
10.16 -2.067 -3.371 4.674 0.6742 -4.135 1.663 -4.135 1.843 3.056 2.374 -3.517 6.067 6.472 6.831 3.775
10.165 -0.2697 -0.08989 9.303 5.528 -2.022 6.742 1.393 8.315 4.764 6.419 4.221 7.826 8.27 13.21 6.112
10.17 3.056 3.551 8.09 6.742 1.618 11.15 3.82 8.674 7.191 10.29 10.02 6.595 8.539 18.34 6.831
10.175 5.843 6.247 2.562 2.966 4.899 13.39 2.966 2.831 9.213 11.78 12.93 4.573 7.64 20.58 7.011
10.18 5.213 6.427 -3.101 -3.056 5.618 13.08 1.438 -4.629 9.573 10.99 13.72 3.078 5.573 20.04 7.371
10.185 1.528 4.36 -5.933 -7.146 3.146 10.7 2.202 -9.079 8.045 10.2 14.42 2.022 2.337 17.62 7.91
10.19 -2.607 1.708 -5.708 -7.011 -0.4944 8.36 6.067 -7.236 5.573 11.17 16 1.319 -0.7191 14.56 8.27
10.195 -5.124 0.1348 -3.82 -3.955 -2.337 8.539 11.15 0.1798 3.775 13.72 18.03 1.583 -2.337 11.96 8.09
10.2 -5.393 0 -1.753 -0.9438 -0.9438 10.74 13.84 8.045 3.056 15.48 18.2 3.078 -1.528 9.438 7.461
10.205 -3.865 0.3596 0.04494 0.1798 1.438 10.97 11.96 9.618 2.652 14.07 13.98 4.485 0.809 6.112 6.382
10.21 -1.798 -0.5843 2.247 0.6292 1.798 6.337 5.798 4.225 1.483 8.266 5.54 5.628 2.966 1.708 5.303
10.215 -1.348 -3.326 5.213 2.742 -0.764 -1.393 -1.978 -2.697 -0.809 0.08793 -3.693 6.507 3.685 -2.517 4.045
10.22 -2.247 -5.888 7.371 6.472 -3.955 -8.135 -8.989 -6.427 -2.787 -6.947 -10.29 6.067 2.337 -5.573 1.798
10.225 -1.169 -5.213 6.157 8.854 -5.079 -11.24 -13.89 -7.371 -3.91 -10.38 -13.81 3.341 -0.1798 -7.73 -2.157
10.23 3.596 -0.3596 1.663 7.146 -3.416 -10.2 -15.91 -7.416 -4.315 -10.9 -15.3 -0.9673 -2.517 -10.16 -6.562
10.235 8.719 5.753 -2.382 2.517 -0.6292 -6.112 -14.29 -6.247 -4.494 -10.99 -15.21 -4.485 -3.685 -13.12 -9.258
10.24 9.079 9.034 -2.337 -0.809 0.8539 -0.9888 -8.449 -2.382 -4.629 -11.34 -13.19 -5.54 -4.225 -15.37 -9.438
10.245 4.045 7.506 1.843 0.04494 0.2247 2.831 1.258 3.551 -4.449 -10.64 -8.881 -4.924 -4.764 -15.64 -8.09
10.25 -3.236 2.787 6.697 3.82 -1.303 4.899 12.45 10.38 -3.506 -7.386 -2.55 -3.429 -5.483 -13.48 -6.472
10.255 -8.719 -1.798 8.539 6.292 -1.618 6.562 21.71 16.72 -1.708 -1.847 4.309 -1.319 -5.573 -9.888 -5.303
10.26 -10.79 -4.18 6.067 3.865 -0.08989 7.416 25.48 19.73 0.3146 3.341 8.354 0.2638 -4.404 -6.472 -4.315
10.265 -9.169 -4.494 0.809 -2.921 1.034 5.438 22.47 16.54 1.258 5.54 6.947 0.1759 -2.337 -4.315 -2.787
10.27 -6.292 -4.539 -4 -10.07 -0.4045 -0.1798 14.07 8.315 0.809 3.605 0.9673 -1.143 0 -2.966 0.1798
10.275 -5.213 -5.528 -5.843 -13.12 -3.64 -6.292 3.685 0.4045 -0.08989 -0.4397 -5.012 -2.11 2.067 -0.4494 4.674
10.28 -5.933 -6.517 -5.258 -11.51 -5.618 -8.854 -4.989 -3.371 0.1348 -2.99 -6.243 -1.231 3.596 4.315 8.989
10.285 -5.483 -5.528 -5.034 -8.404 -4 -6.652 -9.528 -3.73 1.888 -1.759 -1.935 0.9673 4.404 9.708 11.51
10.29 -2.157 -2.337 -6.562 -6.831 0.1798 -1.843 -9.303 -2.787 4.27 2.374 5.452 4.045 4.764 13.12 12.13
10.295 1.169 0.4494 -8.27 -6.607 3.82 2.517 -5.573 -1.348 5.753 6.243 12.05 7.211 4.404 13.03 11.33
10.3 0.809 0.1348 -7.64 -5.124 4 3.371 -1.258 -0.9438 5.573 7.474 14.07 8.266 2.517 9.708 9.079
10.305 -2.966 -3.326 -4.27 -0.9438 0.3596 -0.764 0.6742 -3.685 3.82 5.716 9.233 5.276 -1.708 3.865 4.315
10.31 -6.292 -7.281 0.3596 4.27 -4.539 -7.865 -1.169 -8.944 1.034 1.847 -1.319 -1.055 -7.101 -3.326 -2.697
10.315 -6.112 -8.539 4.944 7.551 -7.551 -13.17 -5.213 -12.36 -1.753 -2.55 -13.01 -6.771 -11.42 -10.97 -9.978
10.32 -1.978 -5.528 8.404 7.596 -6.742 -13.17 -8.135 -9.843 -3.596 -5.54 -20.49 -8.178 -12.13 -16.9 -14.29
10.325 4.584 0.6742 10.2 5.438 -3.056 -7.955 -6.337 -2.067 -4.225 -5.276 -20.4 -4.045 -7.82 -18.7 -12.76
10.33 10.79 7.775 10.61 3.955 1.528 0.6742 1.124 8.045 -3.461 -1.231 -11.78 4.133 0.809 -14.29 -4.854
10.335 13.57 13.12 10.2 4.539 6.067 11.01 12.18 17.66 -1.438 5.452 2.55 13.63 10.97 -4.225 6.652
10.34 12.67 15.37 8.854 6.067 10.02 19.64 21.57 22.88 1.124 11.96 16.27 19.79 18.7 7.371 15.91
10.345 10.25 13.89 5.483 5.483 11.78 21.71 23.87 19.87 2.607 14.42 21.98 18.29 20.58 14.38 17.44
10.35 8.09 8.629 -0.1348 1.393 9.169 14.02 16.27 8.944 1.618 10.11 16.44 9.145 16 12.94 10.16
10.355 4.674 0.1798 -6.292 -3.82 2.022 -0.8539 1.034 -5.034 -1.438 -0.2638 2.814 -3.781 7.371 4.854 -2.067
10.36 -0.809 -8.764 -10.43 -6.112 -6.292 -16.27 -16.04 -17.12 -4.584 -11.52 -11.43 -15.21 -1.618 -4.045 -13.21
10.365 -6.292 -13.8 -11.01 -3.326 -11.33 -25.08 -27.55 -24.99 -5.483 -17.76 -19.7 -21.54 -7.371 -8.809 -18.52
10.37 -7.73 -12.27 -7.73 3.146 -9.933 -23.51 -28.67 -26.92 -3.461 -16 -19.43 -20.93 -8.27 -8 -16.45
10.375 -5.124 -5.573 -1.393 9.888 -2.966 -12.67 -19.64 -21.12 0.1798 -8.705 -12.4 -13.81 -5.034 -4.404 -8.989
10.38 -1.528 1.393 5.438 13.57 4.809 0.6292 -5.843 -9.708 3.82 -0.7914 -4.045 -4.045 -0.3596 -1.528 -0.7191
10.385 0.1798 4.36 9.169 12.72 8.225 8.135 5.169 1.124 5.213 3.429 0.4397 3.254 2.966 -1.258 4.494
10.39 -1.348 2.067 7.685 8.315 5.034 6.337 8.629 6.292 4.315 2.638 -0.7914 5.804 3.955 -2.607 5.933
10.395 -5.303 -3.191 2.652 3.101 -1.798 -0.6742 4.809 6.067 2.292 -1.231 -5.188 5.012 3.146 -3.416 5.213
10.4 -8.989 -7.551 -2.697 -0.809 -7.281 -6.517 -1.888 3.506 0.764 -4.836 -9.057 3.429 1.528 -2.876 3.775
10.405 -8.989 -8.539 -5.798 -3.461 -8.539 -7.91 -7.101 0.764 0.04494 -5.979 -9.936 2.286 -0.1798 -2.157 2.247
10.41 -4.135 -6.112 -5.888 -5.753 -6.157 -5.663 -8.899 -0.8539 -0.4045 -5.012 -7.123 1.935 -1.528 -2.247 0.7191
10.415 2.157 -2.112 -3.506 -8 -2.247 -1.573 -7.91 -0.5843 -1.213 -3.341 -0.7914 2.11 -2.337 -1.978 -0.5393
10.42 6.022 2.202 -0.4045 -9.124 1.573 2.876 -5.618 0.764 -1.798 -1.583 7.826 1.935 -2.876 0.7191 -0.9888
10.425 6.742 6.876 1.213 -8.09 4.719 6.876 -2.247 1.124 -1.618 0.8793 15.65 0.4397 -3.056 5.933 -0.809
10.43 5.573 11.24 0.9888 -4.629 6.697 10.29 2.876 1.034 -0.4045 4.045 20.05 -1.847 -2.697 10.79 0.3596
10.435 2.697 13.17 -0.2697 -0.1348 7.146 13.3 9.169 3.236 0.9438 6.947 19.96 -2.726 -0.9888 12.22 2.157
10.44 -2.067 10.88 -1.528 2.921 5.798 14.83 13.35 7.281 1.933 8.53 15.83 -1.759 1.708 9.169 3.596
10.445 -6.202 4.899 -2.966 2.112 3.011 12.45 11.28 8.629 1.528 7.914 8.354 -0.6155 5.034 3.506 4.045
10.45 -6.742 -1.528 -4.539 -2.427 0.08989 6.112 2.247 4.494 0.1798 5.1 0 -0.6155 7.82 -0.7191 3.955
10.455 -3.326 -5.258 -5.303 -7.461 -1.124 -0.6292 -9.528 -2.157 -1.303 1.055 -6.683 -1.055 8.719 -1.079 4.135
10.46 1.708 -4.944 -4.225 -9.213 0.04494 -4.18 -17.26 -6.247 -1.843 -2.638 -9.936 -1.407 6.742 1.798 3.596
10.465 5.753 -1.843 -1.933 -6.562 1.708 -4.449 -16.58 -5.483 -1.393 -4.836 -9.936 -1.759 1.528 4.764 1.079
10.47 6.472 1.169 0.2247 -1.753 1.483 -3.64 -8.719 -0.809 -0.6742 -5.276 -8.002 -1.935 -5.213 4.944 -3.865
10.475 2.517 1.798 1.798 2.112 -1.124 -3.146 0.4045 5.303 -0.08989 -4.748 -4.485 -1.143 -10.88 2.787 -9.079
10.48 -4.944 -0.04494 2.787 3.82 -4.36 -3.281 4.899 9.303 0.5843 -3.254 -0.5276 0.1759 -13.3 0.6292 -12.22
10.485 -10.97 -2.787 3.056 3.955 -5.708 -4.36 2.831 7.955 1.169 -1.143 2.726 0.7035 -12.49 -0.08989 -11.96
10.49 -12.31 -5.124 2.247 4.225 -4.809 -6.022 -2.652 2.292 1.798 0.9673 4.485 0.1759 -9.528 0.2697 -8.899
10.495 -9.888 -7.191 0.4494 5.034 -2.742 -6.921 -6.697 -3.011 1.753 2.022 4.924 -0.4397 -6.562 0.1798 -5.213
10.5 -7.191 -9.303 -2.652 4.764 -1.393 -6.921 -7.101 -5.708 0.6742 1.583 4.397 -0.8793 -5.393 -1.708 -3.775
10.505 -5.753 -11.06 -7.551 1.258 -2.202 -7.506 -5.169 -7.91 -1.573 -0.2638 1.759 -2.198 -6.292 -5.663 -5.573
10.51 -5.124 -11.55 -12.85 -5.303 -4.719 -9.573 -3.955 -11.64 -4.719 -3.693 -3.781 -4.748 -8.449 -10.7 -8.989
10.515 -5.034 -10.79 -15.73 -11.19 -7.011 -11.6 -4.899 -15.42 -7.416 -8.178 -11.34 -7.65 -10.25 -14.83 -11.06
10.52 -5.573 -9.393 -14.07 -12.63 -7.506 -12.04 -7.326 -16.76 -9.034 -12.4 -18.73 -9.936 -11.15 -16.72 -10.61
10.525 -5.303 -7.551 -8.944 -9.034 -6.157 -11.06 -9.079 -15.55 -9.393 -14.42 -23.3 -11.87 -10.79 -15.82 -8.539
10.53 -2.966 -5.034 -3.101 -3.596 -4.225 -9.213 -8.719 -12.18 -9.034 -13.45 -23.13 -12.66 -9.348 -12.85 -6.202
10.535 0.5393 -1.528 1.348 0.04494 -2.652 -5.843 -5.888 -6.247 -8.449 -9.497 -17.32 -10.73 -6.652 -8.539 -4.135
10.54 3.506 3.146 3.551 0.8989 -1.079 -0.8539 -1.348 1.258 -7.146 -3.517 -7.65 -6.331 -3.506 -3.685 -2.067
10.545 6.292 8.18 4 0.2247 0.8989 4.539 4.36 7.73 -4.809 2.99 2.022 -1.495 -0.6292 0.5393 0
10.55 9.258 12.36 4.27 0.5393 3.236 8.719 11.1 11.82 -1.303 8.354 9.497 2.902 1.079 3.685 2.427
10.555 11.78 14.25 6.022 2.697 6.247 11.91 18.38 14.74 3.371 11.61 14.77 7.123 1.258 6.562 5.213
10.56 13.21 13.93 9.393 5.528 9.618 14.25 24.18 16.85 8.315 13.19 18.47 11.08 0.1798 10.25 7.64
10.565 14.29 12.49 12.18 6.652 12.36 14.52 26.02 16.36 11.73 13.45 19.87 13.28 -1.528 13.66 8.719
10.57 15.28 10.7 12.45 5.303 12.76 11.51 22.02 13.12 12.4 11.61 17.76 13.19 -2.876 14.83 8.449
10.575 14.56 8.09 10.29 3.056 10.25 6.202 13.17 10.02 9.978 6.859 12.13 11.34 -2.876 12.22 7.191
10.58 10.7 4.404 7.191 1.888 5.438 0.3146 2.652 9.438 5.708 -0.1759 4.397 8.442 -1.258 6.562 4.944
10.585 5.303 0.764 4.135 1.753 0.1348 -4.539 -5.528 10.02 1.079 -6.419 -2.638 4.836 1.618 0.5393 2.067
10.59 1.708 -1.303 1.663 1.663 -3.82 -6.697 -8.719 9.618 -2.022 -8.705 -6.507 2.022 5.124 -3.146 -0.3596
10.595 0.3596 -1.258 -0.3146 1.034 -4.584 -4.315 -6.562 7.146 -2.966 -5.54 -5.54 1.495 8.36 -3.146 -0.6292
10.6 -0.1798 -0.1798 -2.337 0.1798 -2.112 1.573 -1.258 2.337 -1.618 1.407 -1.319 2.198 10.07 -0.7191 0.9888
10.605 -1.258 0.1348 -5.124 -0.764 1.438 6.831 3.955 -5.303 0.5843 8.354 2.462 1.495 9.169 0.9888 2.697
10.61 -3.056 -1.393 -8.18 -2.427 3.011 7.191 6.787 -12.81 1.528 10.73 3.341 -1.935 6.022 0 2.607
10.615 -5.663 -4.404 -9.393 -5.034 1.079 2.247 5.843 -15.24 0.3596 6.331 1.143 -6.155 2.157 -3.056 -0.08989
10.62 -8.539 -7.685 -7.82 -7.685 -3.73 -5.933 0.809 -11.28 -3.011 -2.99 -2.55 -8.617 -0.6292 -6.202 -4.045
10.625 -10.07 -9.933 -4.809 -8.449 -9.663 -15.19 -7.82 -5.483 -7.91 -13.28 -7.474 -8.442 -1.079 -8.36 -7.281
10.63 -9.708 -11.01 -2.966 -5.933 -14.83 -22.97 -17.84 -3.146 -12.31 -21.02 -12.84 -6.067 0.809 -9.888 -7.101
10.635 -9.169 -11.51 -2.966 -0.7191 -17.21 -26.16 -25.62 -4.944 -14.34 -24.53 -17.15 -2.462 3.775 -10.88 -2.876
10.64 -9.618 -11.1 -3.82 4.225 -15.46 -22.88 -27.69 -8.135 -12.63 -22.77 -18.2 0.4397 6.202 -10.97 3.236
10.645 -8.809 -8.36 -3.82 5.258 -9.708 -13.93 -22.25 -9.663 -7.371 -15.65 -14.95 0.8793 7.011 -8.989 7.73
10.65 -4.135 -2.517 -1.798 1.978 -1.843 -1.978 -10.74 -7.101 0.04494 -4.573 -7.65 -0.08793 6.562 -4.494 8.899
10.655 2.966 4.719 2.876 -1.753 5.978 10.25 2.787 0.3146 7.191 7.474 1.495 0 5.753 1.888 7.461
10.66 8.09 9.798 8.494 -1.618 11.6 19.46 13.75 9.438 12.22 17.32 9.673 2.11 5.303 8.36 5.573
10.665 9.169 10.7 12.49 3.236 13.62 22.47 19.6 14.83 14.02 22.6 14.07 4.924 4.854 13.21 4.854
10.67 7.281 8.404 13.62 9.303 12.18 19.51 21.12 14.79 12.72 22.69 15.12 7.211 4.494 15.82 5.753
10.675 4.494 5.978 12.9 12.27 9.169 14.83 20.67 12.58 9.483 19.17 16 9.233 4.584 17.53 7.461
10.68 3.326 5.798 11.87 10.92 6.697 12.54 19.78 11.73 6.337 15.21 18.91 11.52 5.753 19.15 8.899
10.685 5.124 8.045 10.43 7.506 5.348 12.99 18.29 11.33 3.955 13.01 22.69 13.37 8.18 19.78 9.348
10.69 8.629 10.43 7.551 5.258 4.27 13.48 15.06 9.528 2.742 11.96 24.27 14.33 11.51 17.62 9.438
10.695 9.978 10.16 3.416 5.258 3.011 11.91 9.888 6.382 2.112 10.29 21.81 14.51 14.2 12.49 10.52
10.7 6.921 6.966 -1.079 5.348 1.843 8 3.416 2.562 1.798 7.211 15.65 12.75 14.11 5.753 11.6
10.705 1.978 3.506 -5.079 2.427 1.169 2.787 -3.146 -2.337 1.528 3.605 7.65 7.386 10.16 -0.2697 10.52
10.71 -0.9888 2.292 -7.82 -3.281 0.764 -1.933 -8.719 -8.09 0.9438 0.7914 0.1759 -1.055 3.326 -4.674 5.573
10.715 -0.7191 3.191 -8.315 -7.955 0.04494 -3.955 -12.76 -12.72 -0.2247 -1.495 -5.276 -9.849 -3.955 -7.64 -2.517
10.72 0.3596 4 -6.652 -7.955 -1.258 -3.506 -14.65 -14.65 -1.843 -3.605 -8.969 -16.71 -9.528 -10.07 -10.88
10.725 0.809 2.787 -3.91 -3.416 -3.326 -3.056 -13.8 -14.47 -3.73 -5.979 -11.87 -20.58 -12.31 -12.22 -16.36
